date_start,date_end,event_name,event_url,even_loc
2016-05-19,2016-05-20,2016 Workshop on Kinetics and Markov State Models in Drug Design,http://www.alchemistry.org/wiki/2016_Workshop_on_Kinetics_and_Markov_State_Models_in_Drug_Design,"Boston, US"
2016-05-17,2016-05-20,Chemical Computing Group User Group Meeting & Conference 2016 Europe,http://www.chemcomp.com/UGM-2016-Europe.htm,"Vienna, Austria"
2016-05-23,2016-05-27,"DynaMol 2016: Dynamique moléculaire, de l'atomistique à l'échelle meso",http://dynamol2016.sciencesconf.org/,"Paris, France"
2016-05-24,2016-05-24,CompChemKitchen - Computational Chemistry in Oxford,http://compchemkitchen.org/,"Oxford, UK"
2016-05-24,2016-05-25,ChemAxon’s 12th European Annual Meeting,https://www.chemaxon.com/events/annual-meeting-budapest-2016,"Budapest, Hungary"
2016-06-01,2016-06-01,Cresset North American User Group Meeting 2016,http://www.cresset-group.com/north-american-user-group-meeting-2016/,"Cambridge, MA, US"
2016-06-04,2016-06-04,1st SoCal TheoChem Symposium,http://yuenzhougroup.ucsd.edu/conference/index.html,"La Jolla, CA, US"
2016-06-04,2016-06-11,From Solid State to Biophysics VIII: from Basic to Life Sciences,http://dubrovnik.epfl.ch/,"Dubrovnik, Croatia"
2016-06-06,2016-06-08,Computational Chemistry and its Application,http://sites.uom.ac.mu/cca/,"San Diego, US"
2016-06-06,2016-06-10,CCPBioSim Training Week,http://www.ccpbiosim.ac.uk/training-week-2016,"Bristol, UK"
2016-06-07,2016-06-10,3rd NovAliX Conference Biophysics in Drug Discovery 2016,http://www.ldorganisation.com/v2/produits.php?langue=english&cle_menus=1238916168,"Strasbourg, France"
2016-06-13,2016-06-13,Molecular Simulation at Bristol,http://www.bristol.ac.uk/chemistry/events/2016/molecular-simulation-at-bristol.html,"Bristol, UK"
2016-06-13,2016-06-15,6th RSC / SCI symposium on GPCRs in Medicinal Chemistry,http://www.rsc.org/events/detail/18631/6th-rsc-sci-symposium-on-gpcrs-in-medicinal-chemistry,"Verona, Italy"
2016-06-13,2016-06-17,SAMSON summer school,https://www.facebook.com/SAMSON.Connect/posts/458465014361625?_rdr=p,"Aix-les-Bains, France"
2016-06-13,2016-06-17,"Workshop: Path Integral Quantum Mechanics: Theory, Simulation and Application",http://www.cecam.org/workshop-0-1314.html,"Lausanne, Switzerland"
2016-06-13,2016-06-17,17th International Conference on QSAR in Environmental and Health Sciences,http://www.qsar2016.com/,"Miami, US"
2016-06-15,2016-06-17,OpenEye scientific EuroCUP IX,http://eyesopen.com/events/eurocup-ix,"Nice, France"
2016-06-16,2016-06-17,Cresset European User Group Meeting 2016,http://www.cresset-group.com/european-user-group-meeting-2016/,"Cambridge, UK"
2016-06-16,2016-06-17,Property-Based Drug Design in Medicinal Chemistry,http://www.worldpreclinicalcongress.com/Property-Based-Drug-Design/,"Boston, MA, US"
2016-06-20,2016-06-21,Protein Modelling and Structure-Based Function Prediction,https://www.biochemistry.org/Events/tabid/379/MeetingNo/TD010/view/Conference/Default.aspx,"Liverpool, UK"
2016-06-26,2016-06-29,28th Annual Workshop on Recent Developments in Electronic Structure Methods,http://es16.unm.edu/,"Albuquerque, NM, US"
2016-06-26,2016-06-30,Modeling and Design of Molecular Materials 2016,https://mdmm.pl/2016/,"Trzebnica, Poland"
2016-06-26,2016-07-06,The 8th Molecular Quantum Mechanics,http://www-conference.slu.se/mqm2016/,"Uppsala, Sweeden"
2016-06-27,2016-07-01,Strasbourg summer school in Cheminformatics,http://infochim.u-strasbg.fr/spip.php?rubrique181,"Strasbourg, France"
2016-06-28-2016-07-01,"17th Tetrahedron Symposium: Challenges in Biological, Bioorganic, Organic & Medicinal Chemistry ",http://www.tetrahedron-symposium.elsevier.com/,"Barcelona, Spain"
2016-06-29,2016-06-29,"Molsoft webinar: Scarab – Data Capture, Integrator and Miner",https://attendee.gotowebinar.com/register/6166229809327437569,Online
2016-07-02,2016-07-09,"Twenty-first International Workshop on Quantum Systems in Chemistry, Physics, and Biology",https://groups.chem.ubc.ca/qscp/,"Vancouver, Canada"
2016-07-04,2016-07-05,XXXII Annual Meeting of the Reference Network on Theoretical and Computational Chemistry,http://www.xrqtc.com/xxxiireunio/,"Barcelona, Spain"
2016-07-04,2016-07-06,Seventh Joint Sheffield Conference on Chemoinformatics,http://cisrg.shef.ac.uk/shef2016/,"Sheffield, UK"
2016-07-04,2016-07-06,Australian symposium on Computationally Enhanced Materials Design – ACEMD,http://www.ozenergyfuture.com/computational-symposium/,"Sydney, Australia"
2016-07-04,2016-07-09,2nd joined Notre Dame-Heidelberg summer school in computational chemistry,http://blogs.nd.edu/heidelbergatnd2016/,"Indiana, US"
2016-07-05,2016-07-06,NSCCS Applied Computational Chemistry Workshop for Synthetic Chemists,http://www.nsccs.ac.uk/SC2016.php,"London, UK"
2016-07-07,2016-07-07,Melbourne Protein Group Student Symposium,http://mpg.org.au/mpg-student-symposium/program/,"Melbourne, AU"
2016-07-08,2016-07-11,Sequence-Structure hackathon at ISMB Orlando 2016,http://www.ncbi.nlm.nih.gov/news/05-10-2016-sequence-structure-hackathon-ismb2016/,"Orlando, FL, US"
